,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20,1,1,"El actual entrenador de porteros es un entrenador técnico y táctico, que sabe qué hacer y cómo hacerlo y que sabe cómo utilizar a cada jugador según su posición y posición en el campo.
En la actualidad, el entrenador de porteros es el profesional que más experiencia tiene y suele ser el encargado de coordinar a todos los",0.5427368337,,,</s>,zh
1,on_p50,20,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ariya Hidayat <ariya@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.5427368337,,,</s>,zh
2,on_p50,20,1,3,"#!/usr/bin/env python

import os
import sys
import time
from collections import defaultdict
from distutils.core import setup
from distutils.command.build import build as build_command
from distutils.version import StrictVersion
from distutils.command.install import install as install_command
",0.5427368337,,,</s>,zh
3,on_p50,20,1,4,"TOMATE. Cuando un tomate está más maduro se desprende de la piel. El tomate crujiente y agudo en el gusto es el que es más fresco.
¿Sabías que en la acelga el sabor picante ocurre porque posee pectina? Dicha sustancia es un tipo de fibra que tiene",0.5427368337,,,</s>,zh
4,on_p50,20,1,5,"3 Temas: Justiça do Trabalho, Funcionários públicos, Magistrados e Procuradores do Trabalho. A Professora Dra. Maria Alice Schurmann.
4 Temas: Justiça do Trabalho, Funcionários públicos, Magistrados e Procuradores do Trabalho. A Professora Dra. Maria Alice Schurmann.
5 Tem",0.5427368337,,,</s>,zh
5,on_p50,20,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
// Registration of a MethodBase
public static void Register(string name, MethodBase method, Type[] parameterTypes)

I am having a problem with reflection, I am not sure how to do this. How",0.5427368337,,,</s>,zh
6,on_p50,20,1,7,"Neuromorphisms
Neurologic disorders affect the brain and cause dysfunction such as stroke, spinal cord injury, cerebellar lesions, and cerebral palsy. Human brains contain approximately 100 million neurons that can be classified into five main classes based on their morphology [11] [12] [13] [14] [15] [16] [17] [18]. A schematic summary",0.5427368337,,,</s>,zh
7,on_p50,20,1,8,"A nível de produção, a empresa detém cerca de 7 milhões de toneladas de açúcar por ano, numa superfície de 6.600 ha, que corresponde aproximadamente a 20% da área total da atividade.",0.5427368337,,,</s>,zh
8,on_p50,20,1,9,"The two queens have a right to be.
But they won't fight.
They'll pay for it with their lives.
They'll pay for it with their lives.
Ready?
Get ready!
And one more thing.
You take care of your queen.
You take care of your queen.
Go!
Hurry!
Hurry",0.5427368337,,,</s>,zh
9,on_p50,20,1,10,"Introduction
In this paper, we propose a new, two-stage opinion evolution model, in which the opinion values evolve from an initially unpolarized set to a novel state of uncertainty. The evolution is driven by a local interaction, the opinion contribution function (OCF). The proposed model is a consequence of the analysis of",0.5427368337,,,</s>,zh
